,cctvid,vdid,dist,cctv_url
107,nfbCCTV-N1H-S-28.69-M,nfbVD-N1-S-28.839-M-RS,0.2168946712976096,"http://cctvn01.freeway.gov.tw/vStream.php?pm=164,A44,11"
108,nfbCCTV-N1-N-119.9-M,nfbVD-N1-N-120.230-M-LOOP,0.17148154845986446,http://210.241.63.120/abs2mjpg/bmjpg?camera=5
109,nfbCCTV-N1H-N-37.849-M,nfbVD-N1H-N-37.737-M-LOOP,0.1112801951162976,"http://cctvn01.freeway.gov.tw/vStream.php?pm=C0,1372"
110,nfbCCTV-N1-N-266.4-M,nfbVD-N1-N-265.650-M-Loop,0.5052404617250641,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=376
111,nfbCCTV-N1-S-117.68-M,nfbVD-N1-S-118.250-M-LOOP,0.48829988344202224,http://210.241.63.120/abs2mjpg/bmjpg?camera=180
112,nfbCCTV-N3-N-22.69-M,nfbVD-N3-N-22.624-M-LOOP,0.06974696342479662,"http://cctvn01.freeway.gov.tw/vStream.php?pm=166,A30,27"
113,nfbCCTV-N1-S-190.685-M,nfbVD-N1-S-191.001-M-LOOP,0.25265045934383945,http://210.241.63.120/abs2mjpg/bmjpg?camera=222
114,nfbCCTV-N1-N-9.4-M,nfbVD-N1-N-9-B-汐止收費站,0.2517314123847877,"http://cctvn01.freeway.gov.tw/vStream.php?pm=161,A41,14"
115,nfbCCTV-N1-S-360.695-M,nfbVD-N1-S-361.000-M-Loop,0.1559770228194582,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=126
116,nfbCCTV-N6-E-24.502-M,nfbVD-N6-E-24.402-M-RS,0.1030767064837897,http://210.241.63.120/abs2mjpg/bmjpg?camera=77
117,nfbCCTV-N5-N-34.65-M,nfbVD-N5-N-34.898-M,0.14345882008600755,http://202.39.180.202:8081/mjpeg/X01001612801901
118,nfbCCTV-N1-S-64-M,nfbVD-N1H-S-64.000-M-LOOP,0.0069078082591900085,"http://cctvn01.freeway.gov.tw/vStream.php?pm=160,A40,16"
119,nfbCCTV-N1H-S-67-M,nfbVD-N1-S-67-I-WS-1-幼獅,0.19481772474926937,"http://cctvn01.freeway.gov.tw/vStream.php?pm=C1,1671"
120,nfbCCTV-N1-N-103.987-M,nfbVD-N1-N-103.880-M-LOOP,0.11294259163601612,http://210.241.63.120/abs2mjpg/bmjpg?camera=351
121,nfbCCTV-N1-N-347.4-M,nfbVD-N1-N-347.680-M-RS,0.15476888102269384,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=387
122,nfbCCTV-N1-S-248.05-M,nfbVD-N1-S-243-I-WS-21-南下入口-雲林,0.05837594352466744,http://210.241.63.120/abs2mjpg/bmjpg?camera=419
123,nfbCCTV-N3-S-378.805-M,nfbVD-N3-S-378.735-M-Loop,0.056493740265709295,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=263
124,nfbCCTV-N1H-S-31.76-M,nfbVD-N1H-S-32.5-O-NW-1-五股,0.2560875542490354,"http://cctvn01.freeway.gov.tw/vStream.php?pm=163,A43,0"
